Date,Open,High,Low,Close,Adj Close,Volume
01-12-2003,null,null,null,null,null,null
01-01-2004,10452.74023,10705.17969,10367.41016,10488.07031,10488.07031,4380510000
01-02-2004,10487.78027,10753.62988,10434.66992,10583.91992,10583.91992,3894640000
01-03-2004,10582.25,10695.54981,10007.49023,10357.7002,10357.7002,5009640000
01-04-2004,10357.51953,10570.80957,10219.17969,10225.57031,10225.57031,4530000000
01-05-2004,10227.26953,10386.32031,9852.19043,10188.4502,10188.4502,4016800000
01-06-2004,10187.17969,10498.66992,10134.86035,10435.48047,10435.48047,4111110000
01-07-2004,10434,10448.08984,9913.919922,10139.70996,10139.70996,4452180000
01-08-2004,10138.4502,10211.25,9783.910156,10173.91992,10173.91992,3756550000
01-09-2004,10170.12012,10363.36035,9977.919922,10080.26953,10080.26953,4638370000
01-10-2004,10082.04004,10270.37012,9708.400391,10027.46973,10027.46973,5292920000
01-11-2004,10028.73047,10602.84961,10010.15039,10428.01953,10428.01953,5666600000
01-12-2004,10425.79981,10868.07031,10418.62988,10783.00977,10783.00977,5744730000
01-01-2005,10783.75,10867.38965,10368.61035,10489.94043,10489.94043,5424930000
01-02-2005,10489.71973,10853.42969,10489.63965,10766.23047,10766.23047,5038600000
01-03-2005,10769.04004,10984.45996,10396.24023,10503.75977,10503.75977,5820160000
01-04-2005,10504.57031,10568.92969,10000.45996,10192.50977,10192.50977,5852240000
01-05-2005,10192,10560.80957,10075.54981,10467.48047,10467.48047,4843000000
01-06-2005,10462.86035,10656.29004,10253.49023,10274.96973,10274.96973,5026730000
01-07-2005,10273.58984,10717.73047,10175.40039,10640.91016,10640.91016,4821200000
01-08-2005,10641.78027,10719.41016,10349.37012,10481.59961,10481.59961,5082400000
01-09-2005,10481.44043,10701.80957,10350.95996,10568.7002,10568.7002,5229310000
01-10-2005,10569.5,10608.55957,10156.45996,10440.07031,10440.07031,5829060000
01-11-2005,10440.07031,10959.79004,10388.75977,10805.87012,10805.87012,5385780000
01-12-2005,10806.03027,10940.33984,10709.41992,10717.5,10717.5,5223910000
01-01-2006,10718.29981,11047.75977,10661.15039,10864.86035,10864.86035,6552210000
01-02-2006,10862.13965,11159.17969,10737.66992,10993.41016,10993.41016,5759090000
01-03-2006,10993.25,11334.95996,10922.73047,11109.32031,11109.32031,6680180000
01-04-2006,11113,11417.66016,11039.12012,11367.13965,11367.13965,5584020000
01-05-2006,11367.78027,11670.19043,11030.46973,11168.30957,11168.30957,7360590000
01-06-2006,11169.03027,11285.82031,10698.84961,11150.21973,11150.21973,6959660000
01-07-2006,11149.33984,11257.08008,10683.32031,11185.67969,11185.67969,5548680000
01-08-2006,11184.79981,11407.08008,11042.63965,11381.15039,11381.15039,4668650000
01-09-2006,11382.75,11741.99023,11323.83984,11679.07031,11679.07031,4494890000
01-10-2006,11678.99023,12167.01953,11653.05957,12080.73047,12080.73047,5665820000
01-11-2006,12080.25,12361,11965.30957,12221.92969,12221.92969,4722850000
01-12-2006,12220.96973,12529.87988,12089.98047,12463.15039,12463.15039,4381310000
01-01-2007,12459.54004,12657.01953,12337.37012,12621.69043,12621.69043,5075440000
01-02-2007,12617.2002,12795.92969,12086.05957,12268.62988,12268.62988,4347420000
01-03-2007,12268.62988,12511.04981,11939.61035,12354.34961,12354.34961,5633180000
01-04-2007,12354.51953,13162.05957,12324.28027,13062.91016,13062.91016,4819810000
01-05-2007,13062.75,13673.07031,13041.29981,13627.63965,13627.63965,5039850000
01-06-2007,13628.69043,13692,13251.53027,13408.62012,13408.62012,5227620000
01-07-2007,13409.59961,14021.9502,13199.79004,13211.99023,13211.99023,5512040000
01-08-2007,13211.08984,13695.82031,12517.94043,13357.74023,13357.74023,6199120000
01-09-2007,13358.38965,13924.80957,13021.92969,13895.62988,13895.62988,4328370000
01-10-2007,13895.70996,14198.09961,13407.49023,13930.00977,13930.00977,5010920000
01-11-2007,13924.16016,13924.16016,12724.08984,13371.71973,13371.71973,5980230000
01-12-2007,13368.21973,13780.11035,13092,13264.82031,13264.82031,4310320000
01-01-2008,13261.82031,13279.54004,11634.82031,12650.36035,12650.36035,7459830000
01-02-2008,12638.16992,12767.74023,12069.46973,12266.38965,12266.38965,5720360000
01-03-2008,12264.36035,12622.07031,11731.59961,12262.88965,12262.88965,6229020000
01-04-2008,12266.63965,13010,12266.46973,12820.12988,12820.12988,5050840000
01-05-2008,12818.33984,13136.69043,12442.58984,12638.32031,12638.32031,4530790000
01-06-2008,12637.66992,12638.08008,11287.55957,11350.00977,11350.00977,5309950000
01-07-2008,11344.63965,11698.16992,10827.70996,11378.01953,11378.01953,5551580000
01-08-2008,11379.88965,11867.11035,11221.53027,11543.95996,11543.95996,3578210000
01-09-2008,11545.62988,11790.16992,10365.4502,10850.66016,10850.66016,6302330000
01-10-2008,10847.40039,10882.51953,7882.509766,9325.009766,9325.009766,8311580000
01-11-2008,9326.040039,9653.950195,7449.379883,8829.040039,8829.040039,6262880000
01-12-2008,8826.889648,9026.410156,8118.5,8776.389648,8776.389648,5701870000
01-01-2009,8772.25,9088.05957,7909.029785,8000.859863,8000.859863,6261980000
01-02-2009,8000.620117,8315.070313,7033.620117,7062.930176,7062.930176,7134360000
01-03-2009,7056.47998,7931.330078,6469.950195,7608.919922,7608.919922,10561060000
01-04-2009,7606.129883,8307.509766,7483.870117,8168.120117,8168.120117,7795900000
01-05-2009,8167.410156,8591.929688,8099.310059,8500.330078,8500.330078,6734390000
01-06-2009,8501.530273,8877.929688,8259.429688,8447,8447,5524080000
01-07-2009,8447.530273,9246.429688,8087.189941,9171.610352,9171.610352,4902340000
01-08-2009,9173.650391,9630.200195,9116.519531,9496.280273,9496.280273,4042210000
01-09-2009,9492.320313,9917.990234,9252.929688,9712.280273,9712.280273,4478480000
01-10-2009,9711.599609,10119.46973,9430.080078,9712.730469,9712.730469,5151150000
01-11-2009,9712.129883,10495.61035,9678.950195,10344.83984,10344.83984,3813550000
